mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->aggressive; 2->defensive; 3->cautious,-0.012514812599423037,1924,0.009636226611226612,0.06871080004763375,0.008741819917832183,0.07146784550618547,-0.012514812599423037,-0.21534190816398813,0.040595070380703945,1.0687108000476337,0.13290020790020796,255.70000000000013
0->defensive; 1->cash; 2->cautious; 3->rebound,-0.5714171851865497,1924,0.009636226611226612,-0.2161997432255457,-0.03140253740339205,0.07181926809082718,-0.5714171851865497,-0.281441861702595,-0.11157735105012812,0.7838002567744543,0.3078482328482328,592.3
0->aggressive; 1->cash; 2->cautious; 3->rebound,-0.5888989781938507,1924,0.009636226611226612,-0.22414961927129506,-0.03269499312587154,0.07188197178899464,-0.5888989781938507,-0.2887300044172162,-0.11323725496373119,0.7758503807287049,0.3082640332640333,593.1
0->defensive; 1->cash; 2->rebound; 3->cautious,-0.6220803980842641,1924,0.009636226611226612,-0.25145249738336295,-0.03722320699372339,0.07532697340931588,-0.6220803980842641,-0.2977529531391785,-0.1250137290034674,0.748547502616637,0.30628898128898124,589.3
0->aggressive; 1->cash; 2->rebound; 3->cautious,-0.6387452511505143,1924,0.009636226611226612,-0.2590384686163518,-0.03850681736402428,0.07537127499348945,-0.6387452511505143,-0.3048697037492808,-0.1263058181592605,0.7409615313836482,0.3067047817047817,590.1
0->cash; 1->aggressive; 2->defensive; 3->rebound,-0.6761674154777794,1924,0.009636226611226612,-0.293918366030139,-0.04455993152425097,0.08015198143965961,-0.6761674154777794,-0.3389692934673758,-0.13145713308848625,0.706081633969861,0.4012993762993764,772.1000000000001
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.6828602464779979,1924,0.009636226611226612,-0.29725718278817537,-0.04515289867525185,0.08023475604132095,-0.6828602464779979,-0.34209507991240573,-0.1319893249760077,0.7027428172118246,0.399012474012474,767.7
0->cash; 1->aggressive; 2->rebound; 3->defensive,-0.759175223849745,1924,0.009636226611226612,-0.3433277833145004,-0.053595385516328586,0.08328987846430289,-0.759175223849745,-0.3818255511510331,-0.1403661576726924,0.6566722166854996,0.4067567567567568,782.6000000000001
0->cash; 1->rebound; 2->cautious; 3->aggressive,-0.7613641859745522,1924,0.009636226611226612,-0.3793498400436036,-0.060562964140605025,0.09220185562310908,-0.7613641859745522,-0.41628985776683813,-0.1454826799420274,0.6206501599563964,0.5078482328482329,977.1000000000001
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.7654331099369702,1924,0.009636226611226612,-0.3815225591502007,-0.06099436539974934,0.09227532895303163,-0.7654331099369702,-0.41833326041227314,-0.14580328931923453,0.6184774408497993,0.505977130977131,973.5000000000001
0->cautious; 1->aggressive; 2->rebound; 3->defensive,-0.7656283494986651,1924,0.009636226611226612,-0.3464263112405547,-0.0541814848384069,0.08335338090787975,-0.7656283494986651,-0.3847424261828406,-0.14082534483124123,0.6535736887594453,0.4044698544698545,778.2
0->cash; 1->rebound; 2->aggressive; 3->cautious,-0.8165958308308718,1924,0.009636226611226612,-0.434072718762163,-0.0718518643035202,0.09978999137410989,-0.8165958308308718,-0.4773254986547226,-0.15053011939656474,0.565927281237837,0.5086278586278588,978.6000000000001
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.820385971869143,1924,0.009636226611226612,-0.43604929110427926,-0.07227709525558024,0.09984729709624114,-0.820385971869143,-0.47915100521278975,-0.15084408562073695,0.5639507088957207,0.5067567567567568,975.0000000000001
0->cash; 1->cautious; 2->defensive; 3->rebound,-0.8323845444040107,1924,0.009636226611226612,-0.3340792197125556,-0.05186016250267411,0.0738797825203882,-0.8323845444040107,-0.3798099267966927,-0.1365424093573894,0.6659207802874444,0.3970893970893971,764.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.8536004561442228,1924,0.009636226611226612,-0.3431426468955131,-0.05356044234292845,0.0740354207864639,-0.8536004561442228,-0.38825094220643075,-0.13795315482956555,0.6568573531044869,0.3956340956340957,761.2
0->cash; 1->defensive; 2->cautious; 3->aggressive,-0.8774407699283915,1924,0.009636226611226612,-0.4207457974269908,-0.06901799346495785,0.08964048944591836,-0.8774407699283915,-0.4560768859512635,-0.15132973318962087,0.5792542025730092,0.5158004158004158,992.4000000000001
0->cash; 1->cautious; 2->rebound; 3->defensive,-0.886992362528103,1924,0.009636226611226612,-0.37134905903205484,-0.05898561189391471,0.07736463289216557,-0.886992362528103,-0.412449038678118,-0.14301309098200626,0.6286509409679452,0.3947505197505197,759.5
0->rebound; 1->defensive; 2->cautious; 3->aggressive,-0.8887726106084772,1924,0.009636226611226612,-0.4259115077400515,-0.07010965143556425,0.08972585011614469,-0.8887726106084772,-0.46092751841499524,-0.15210558848092284,0.5740884922599485,0.5135135135135136,988.0000000000001
0->cash; 1->defensive; 2->aggressive; 3->cautious,-0.9038148139670814,1924,0.009636226611226612,-0.46382215521681414,-0.07839323985529167,0.09739768048294513,-0.9038148139670814,-0.5067260582122711,-0.1547053651273884,0.5361778447831859,0.5087837837837839,978.9000000000001
0->aggressive; 1->cautious; 2->rebound; 3->defensive,-0.9074215751242797,1924,0.009636226611226612,-0.3798932597571336,-0.06067073887252483,0.07747993590974764,-0.9074215751242797,-0.42043463612591236,-0.14430480664384432,0.6201067402428664,0.3932952182952183,756.7
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.9143548779375408,1924,0.009636226611226612,-0.46859534788771373,-0.07947200581456337,0.0974547569831819,-0.9143548779375408,-0.5111173093364927,-0.15548682144560907,0.5314046521122863,0.5064968814968815,974.5000000000001
