,train_activation_rate,mutual_info_mean,target_count,spy_up_next,tlt_up_next,gld_up_next,risk_off_next,is_cross_asset,passes_activation_rate
HYG_vol_regime_down,0.25765577,0.00010849960443008039,4,0.00018225575459640542,0.0002356694835544959,1.0360150801247414e-05,5.713028768172812e-06,False,True
SPY_breakout_20d,0.2280887,9.030549917796865e-05,4,0.00014320086638711094,5.0294012890944595e-05,5.193842843587149e-07,0.00016720773314946036,False,True
UUP_range_expand,0.21436115,8.620456162714701e-05,4,0.00014413637208468555,8.200795066082289e-07,6.090548984996613e-05,0.00013895630506732815,False,True
VIX_vol_regime_up,0.21066526,7.307310436781289e-05,4,4.809346799039549e-05,2.7711858948287205e-05,0.00016619530374967217,5.02917867828967e-05,False,True
TLT_gap_down,0.20432946,6.394389740198986e-05,4,9.53140319998047e-05,4.1700557795731896e-07,0.00013591198079571098,2.4132571234486422e-05,False,True
VIX_gap_down,0.19640972,6.224973736328188e-05,4,1.2778695082760194e-05,0.00023380332987577024,2.3843878875218216e-06,3.2536607075250856e-08,False,True
VIX_ret_down_large,0.2001056,5.86599233678986e-05,4,4.180986107660267e-06,0.00019618999348552935,2.1916006123084975e-05,1.2352707755319825e-05,False,True
GLD_vol_regime_down,0.22280887,5.827851444070026e-05,4,0.00022156854382701652,4.656218397652845e-06,6.368221561192655e-08,6.825613322519741e-06,False,True
HYG_ret_up_large,0.20432946,3.3552808550108004e-05,4,1.756155056600872e-05,6.49652172279025e-05,2.764544452804607e-07,5.140801196124034e-05,False,True
VIX_vol_regime_down,0.23970433,2.9783392531949893e-05,4,5.571106406226933e-06,9.64719876681841e-05,3.1595039016729665e-06,1.393097215171557e-05,False,True
HYG_volume_spike,0.039598733,0.0004109591461864577,4,0.0003313784976921863,0.00035032631020170957,0.00084266636871691,0.00011946540813502493,False,False
risk_on_rebound,0.039598733,0.00016940465072644642,4,2.323429057889126e-05,0.00014279661730630389,0.0004518082345438823,5.9779460476708235e-05,True,False
LQD_volume_spike,0.030095037,0.00012704708731530595,4,0.0003015666786940277,5.853656273833996e-06,1.9317023963245916e-05,0.0001814509903301162,False,False
UUP_volume_spike,0.03907075,6.535979486221692e-05,4,2.1646718260492914e-05,2.0076307854499653e-06,0.0001387468019542204,9.903802844870441e-05,False,False
